serverChoice,numberServers,servicePercentage
Random,1,35.23809523809524080207
Random,1,31.17977528089887329088
Random,1,31.94444444444444286546
Random,1,38.43648208469055305159
Random,1,34.10852713178294237650
Random,1,29.53929539295392814324
Random,1,31.56424581005586205151
Random,1,34.23913043478260931352
Random,1,34.39306358381502803923
Random,1,29.81530343007915462294
Random,1,31.80661577608142565055
Random,1,34.11764705882352899380
Random,1,40.11627906976744384338
Random,1,33.89830508474575765376
Random,1,30.25936599423630823935
Random,1,32.47422680412370965541
Random,1,34.67048710601719108126
Random,1,30.51282051282051455132
Random,1,32.41590214067278452603
Random,1,29.55801104972375981106
Random,1,31.25000000000000000000
Random,1,33.51648351648351109588
Random,1,36.03603603603603744432
Random,1,32.85714285714285409767
Random,1,32.47863247863247693203
Random,1,30.70422535211267245359
Random,1,31.67539267015706627717
Random,1,30.27777777777777501456
Random,1,30.24523160762943163604
Random,1,32.61455525606469052491
Random,1,36.47416413373860422098
Random,1,35.65683646112600513334
Random,1,34.93589743589743079610
Random,1,32.32876712328766899418
Random,1,34.67048710601719108126
Random,1,33.92857142857143060155
Random,1,26.56250000000000000000
Random,1,34.55149501661129107788
Random,1,34.84848484848485128396
Random,1,33.79888268156424402378
Random,1,35.42857142857142349612
Random,1,33.23615160349854136257
Random,1,33.23442136498515964149
Random,1,31.73333333333333428072
Random,1,34.81894150417827660249
Random,1,37.70949720670391513977
Random,1,32.57142857142857650388
Random,1,34.77011494252873546884
Random,1,28.04232804232804099343
Random,1,40.55727554179566851644
Random,2,48.95287958115183357677
Random,2,50.93333333333333001747
Random,2,54.98652291105121747705
Random,2,55.68862275449101417735
Random,2,46.02739726027397182406
Random,2,50.98591549295774427719
Random,2,47.98927613941018677224
Random,2,52.73775216138329113846
Random,2,52.53333333333333143855
Random,2,50.00000000000000000000
Random,2,52.56797583081570479635
Random,2,43.79947229551451215457
Random,2,50.79365079365079083118
Random,2,56.52173913043478137297
Random,2,50.00000000000000000000
Random,2,57.22713864306784614655
Random,2,53.19148936170212493835
Random,2,51.26050420168066779070
Random,2,50.00000000000000000000
Random,2,53.93939393939394477684
Random,2,52.60115606936416554618
Random,2,50.75987841945288892020
Random,2,49.85590778097982678219
Random,2,52.39520958083831914109
Random,2,50.28571428571429180465
Random,2,52.29357798165137438673
Random,2,52.89017341040462838464
Random,2,50.46153846153845989875
Random,2,54.57413249211356998103
Random,2,50.00000000000000000000
Random,2,49.46236559139784816352
Random,2,48.56321839080459312754
Random,2,50.58823529411764496899
Random,2,52.05882352941176804961
Random,2,51.86170212765956932799
Random,2,50.90909090909090650712
Random,2,51.03857566765578468448
Random,2,49.04632152588555982220
Random,2,51.03857566765578468448
Random,2,55.07692307692308020250
Random,2,52.01149425287356109493
Random,2,51.29682997118155896032
Random,2,56.78233438485804640550
Random,2,50.00000000000000000000
Random,2,51.29682997118155896032
Random,2,55.44554455445545215753
Random,2,50.14662756598240633821
Random,2,52.05882352941176804961
Random,2,51.12359550561797760793
Random,2,47.75280898876404478415
Random,3,59.18367346938775597209
Random,3,61.74698795180722754594
Random,3,58.65921787709497436936
Random,3,57.59999999999999431566
Random,3,63.98809523809523369664
Random,3,63.27160493827160792080
Random,3,67.34693877551019625116
Random,3,60.59782608695651617836
Random,3,64.73988439306359055081
Random,3,60.88328075709779341196
Random,3,63.55932203389830448259
Random,3,55.49450549450549630137
Random,3,60.56338028169013654178
Random,3,61.73913043478260931352
Random,3,55.58583106267030160552
Random,3,62.03703703703703808969
Random,3,58.39999999999999857891
Random,3,61.53846153846154010125
Random,3,58.75706214689265749485
Random,3,64.36781609195402609203
Random,3,59.72602739726027465395
Random,3,62.75659824046920931551
Random,3,60.65573770491803173854
Random,3,59.88700564971751560961
Random,3,57.70308123249299114832
Random,3,64.55331412103745947206
Random,3,61.96721311475409521563
Random,3,57.33695652173913259730
Random,3,54.90716180371353516421
Random,3,60.28169014084506471818
Random,3,55.58659217877095670701
Random,3,58.61111111111111426908
Random,3,60.00000000000000000000
Random,3,65.64417177914110368420
Random,3,59.88023952095807800333
Random,3,59.18367346938775597209
Random,3,56.58263305322128644548
Random,3,60.36269430051813600357
Random,3,56.86274509803921262119
Random,3,66.28242074927953808583
Random,3,57.29729729729729825749
Random,3,64.01179941002949647100
Random,3,58.51648351648351820131
Random,3,60.62322946175638094246
Random,3,64.02439024390244526330
Random,3,60.64139941690962132270
Random,3,62.74509803921568362739
Random,3,66.27565982404691169450
Random,3,61.56069364161849932771
Random,3,65.40880503144653346226
Random,4,69.13946587537091659215
Random,4,66.86746987951806886485
Random,4,63.51706036745407146782
Random,4,65.21739130434782794055
Random,4,71.29909365558911815697
Random,4,69.94047619047618979948
Random,4,63.55932203389830448259
Random,4,72.09302325581394654819
Random,4,68.82022471910111960369
Random,4,66.45768025078369589664
Random,4,62.97376093294461441019
Random,4,64.28571428571429180465
Random,4,68.65671641791044521597
Random,4,67.38461538461538680167
Random,4,69.57831325301204117295
Random,4,68.30601092896174009184
Random,4,70.11173184357542709222
Random,4,64.22976501305483054693
Random,4,64.17910447761194348004
Random,4,62.29946524064171597956
Random,4,67.86786786786787217807
Random,4,63.08900523560209450125
Random,4,68.32298136645962927105
Random,4,65.71428571428570819535
Random,4,71.09826589595375878616
Random,4,69.18604651162790730723
Random,4,71.72619047619048160414
Random,4,64.05405405405404906105
Random,4,70.74626865671640985056
Random,4,68.94409937888198669498
Random,4,69.72477064220183251564
Random,4,64.50704225352113496683
Random,4,60.75949367088607999676
Random,4,68.09815950920244631561
Random,4,67.23163841807910046100
Random,4,67.70833333333334280724
Random,4,65.46961325966850608893
Random,4,66.57303370786516438784
Random,4,70.02881844380402753814
Random,4,67.68292682926829684220
Random,4,68.46846846846847256529
Random,4,67.25146198830410071423
Random,4,70.00000000000000000000
Random,4,66.19718309859155169761
Random,4,66.01671309192201420046
Random,4,66.66666666666665719276
Random,4,65.92178770949720956196
Random,4,65.57377049180327333033
Random,4,64.59948320413437272691
Random,4,66.76384839650145863743
Random,5,70.68965517241379359348
Random,5,75.52238805970149826408
Random,5,70.77363896848137869711
Random,5,74.57142857142856939845
Random,5,68.23204419889502503338
Random,5,71.27071823204418876685
Random,5,74.48071216617209699962
Random,5,69.11392405063291732858
Random,5,70.40816326530612911938
